array_type,algorithm_name,sortedness,inversions,unique_ratio,misplaced_count,variance,num_steps,execution_time,winner_against,won,run_id
nearly_sorted,counting_sort,100.0,0,1.0,0,2.0,20,0.0,bozo_sort,0,2227
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,counting_sort,0,2227
nearly_sorted,counting_sort,100.0,0,1.0,0,2.0,20,0.0,bozo_sort,0,2228
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,counting_sort,0,2228
nearly_sorted,counting_sort,100.0,0,1.0,0,2.0,20,0.0,bozo_sort,0,2229
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,counting_sort,0,2229
nearly_sorted,counting_sort,91.91919191919192,261,1.0,10,833.25,400,0.0,sleep_sort,1,2230
nearly_sorted,sleep_sort,91.91919191919192,261,1.0,10,833.25,101,0.1292717456817627,counting_sort,0,2230
nearly_sorted,counting_sort,91.91919191919192,189,1.0,9,833.25,400,0.0005652904510498047,sleep_sort,1,2231
nearly_sorted,sleep_sort,91.91919191919192,189,1.0,9,833.25,101,0.12769436836242676,counting_sort,0,2231
nearly_sorted,counting_sort,89.8989898989899,527,1.0,10,833.25,400,0.0,sleep_sort,1,2232
nearly_sorted,sleep_sort,89.8989898989899,527,1.0,10,833.25,101,0.13146376609802246,counting_sort,0,2232
nearly_sorted,counting_sort,100.0,0,1.0,0,2.0,20,0.0,quantum_bogo_sort,0,2233
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,counting_sort,0,2233
nearly_sorted,counting_sort,100.0,0,1.0,0,2.0,20,0.0,quantum_bogo_sort,0,2234
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,counting_sort,0,2234
nearly_sorted,counting_sort,100.0,0,1.0,0,2.0,20,0.0,quantum_bogo_sort,0,2235
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,counting_sort,0,2235
nearly_sorted,radix_sort,90.9090909090909,379,1.0,10,833.25,619,0.0,bitonic_sort,0,2236
nearly_sorted,bitonic_sort,90.9090909090909,379,1.0,10,833.25,404,0.0,radix_sort,0,2236
nearly_sorted,radix_sort,90.9090909090909,481,1.0,9,833.25,619,0.0,bitonic_sort,1,2237
nearly_sorted,bitonic_sort,90.9090909090909,481,1.0,9,833.25,388,0.006779670715332031,radix_sort,0,2237
nearly_sorted,radix_sort,90.9090909090909,459,1.0,9,833.25,619,0.0008568763732910156,bitonic_sort,0,2238
nearly_sorted,bitonic_sort,90.9090909090909,459,1.0,9,833.25,407,0.0003101825714111328,radix_sort,1,2238
nearly_sorted,radix_sort,100.0,0,1.0,0,2.0,20,0.0,bogo_sort,0,2239
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,radix_sort,0,2239
nearly_sorted,radix_sort,100.0,0,1.0,0,2.0,20,0.0,bogo_sort,0,2240
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,radix_sort,0,2240
nearly_sorted,radix_sort,100.0,0,1.0,0,2.0,20,0.001203775405883789,bogo_sort,0,2241
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,radix_sort,1,2241
nearly_sorted,radix_sort,100.0,0,1.0,0,2.0,20,0.0,bozo_sort,0,2242
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,radix_sort,0,2242
nearly_sorted,radix_sort,100.0,0,1.0,0,2.0,20,0.0,bozo_sort,0,2243
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,radix_sort,0,2243
nearly_sorted,radix_sort,100.0,0,1.0,0,2.0,20,0.0,bozo_sort,0,2244
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,radix_sort,0,2244
nearly_sorted,radix_sort,90.9090909090909,299,1.0,10,833.25,619,0.0010788440704345703,sleep_sort,1,2245
nearly_sorted,sleep_sort,90.9090909090909,299,1.0,10,833.25,101,0.12491726875305176,radix_sort,0,2245
nearly_sorted,radix_sort,90.9090909090909,191,1.0,10,833.25,619,0.0,sleep_sort,1,2246
nearly_sorted,sleep_sort,90.9090909090909,191,1.0,10,833.25,101,0.1299731731414795,radix_sort,0,2246
nearly_sorted,radix_sort,89.8989898989899,329,1.0,10,833.25,619,0.0,sleep_sort,1,2247
nearly_sorted,sleep_sort,89.8989898989899,329,1.0,10,833.25,101,0.13288044929504395,radix_sort,0,2247
nearly_sorted,radix_sort,100.0,0,1.0,0,2.0,20,0.0,quantum_bogo_sort,0,2248
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,radix_sort,0,2248
nearly_sorted,radix_sort,100.0,0,1.0,0,2.0,20,0.0,quantum_bogo_sort,0,2249
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,radix_sort,0,2249
nearly_sorted,radix_sort,100.0,0,1.0,0,2.0,20,0.0,quantum_bogo_sort,0,2250
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,radix_sort,0,2250
nearly_sorted,bitonic_sort,100.0,0,1.0,0,2.0,3,0.0,bogo_sort,0,2251
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,bitonic_sort,0,2251
nearly_sorted,bitonic_sort,100.0,0,1.0,0,2.0,3,0.0,bogo_sort,0,2252
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,bitonic_sort,0,2252
nearly_sorted,bitonic_sort,100.0,0,1.0,0,2.0,3,0.0,bogo_sort,0,2253
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,bitonic_sort,0,2253
nearly_sorted,bitonic_sort,100.0,0,1.0,0,2.0,3,0.0,bozo_sort,0,2254
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,bitonic_sort,0,2254
nearly_sorted,bitonic_sort,100.0,0,1.0,0,2.0,3,0.0,bozo_sort,0,2255
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,bitonic_sort,0,2255
nearly_sorted,bitonic_sort,100.0,0,1.0,0,2.0,3,0.0,bozo_sort,0,2256
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,bitonic_sort,0,2256
nearly_sorted,bitonic_sort,89.8989898989899,243,1.0,10,833.25,413,0.0,sleep_sort,1,2257
nearly_sorted,sleep_sort,89.8989898989899,243,1.0,10,833.25,101,0.13703155517578125,bitonic_sort,0,2257
nearly_sorted,bitonic_sort,89.8989898989899,421,1.0,10,833.25,406,0.002931833267211914,sleep_sort,1,2258
nearly_sorted,sleep_sort,89.8989898989899,421,1.0,10,833.25,101,0.12793397903442383,bitonic_sort,0,2258
nearly_sorted,bitonic_sort,90.9090909090909,233,1.0,10,833.25,398,0.0,sleep_sort,1,2259
nearly_sorted,sleep_sort,90.9090909090909,233,1.0,10,833.25,101,0.13184022903442383,bitonic_sort,0,2259
nearly_sorted,bitonic_sort,100.0,0,1.0,0,2.0,3,0.0,quantum_bogo_sort,0,2260
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,bitonic_sort,0,2260
nearly_sorted,bitonic_sort,100.0,0,1.0,0,2.0,3,0.0,quantum_bogo_sort,0,2261
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,bitonic_sort,0,2261
nearly_sorted,bitonic_sort,100.0,0,1.0,0,2.0,3,0.0,quantum_bogo_sort,0,2262
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,bitonic_sort,0,2262
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,bozo_sort,0,2263
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,bogo_sort,0,2263
